Proposal Title,Contributor(s),Prof. Affiliations,Verticals (max 3),Authority,Funding,Misc.,Agency/Exec. Office,Full Proposal,Supporting documents
Amend REIT and MLP Tax Code to Increase Investment in Clean Energy,Bill Hilliard,Generate Capital,"Energy,Infrastructure","Executive order,New legislation",No funding,,"TREAS,DOE",Amend REIT and MLP Tax Code to Increase Investment in Clean Energy.docx.pdf (https://dl.airtable.com/.attachments/0451906a520aae97dee6926e023fcca3/8679557d/AmendREITandMLPTaxCodetoIncreaseInvestmentinCleanEnergy.docx.pdf),
Accelerated elimination of tax equity recapture based upon job creation,Bill Hilliard,Generate Capital,"Energy,Infrastructure","Executive order,New legislation",No funding,,"TREAS,DOE",Accelerated elimination of tax equity recapture based upon job creation.docx.pdf (https://dl.airtable.com/.attachments/04eb607d358266071a857e00a9549b18/2dc3caec/Acceleratedeliminationoftaxequityrecapturebaseduponjobcreation.docx.pdf),
Maximize Job Creation from the DOE Loan Program,Bill Hilliard,Generate Capital,Energy,"Executive order,New legislation",No funding,,"TREAS,DOE",Maximize Job Creation from the DOE Loan Program.docx.pdf (https://dl.airtable.com/.attachments/f249e0d9dfa6ea5ce3e43a409fe05190/c08e6641/MaximizeJobCreationfromtheDOELoanProgram.docx.pdf),
"NSF and USDA Investment in Open-access Alternative Protein Research and Development with Grant Preference to '1890s' Universities
","Gabriel Wildgen,Emily Hennessee",Good Food Institute,"Food Systems,Conservation & Ag.","Existing authority,New legislation",Funding,,"NSF,USDA",GFI CLEEN Submission Alternative Protein R&D.docx.pdf (https://dl.airtable.com/.attachments/8e3e18c4473bde84a021f519092673ee/19e78234/GFICLEENSubmissionAlternativeProteinRD.docx.pdf),GFI-Plant-Based-Meat-Fact-Sheet_Environmental-Comparison.pdf (https://dl.airtable.com/.attachments/864c76e7619cf3789c5878e6ae5f5d64/bd9da4f2/GFI-Plant-Based-Meat-Fact-Sheet_Environmental-Comparison.pdf)
An Enhanced Community Reinvestment Act (CRA) to Provide CRA Credit to Banks for Clean Energy Investments in Disadvantaged Communities,"Sadie McKeown ,Atalia Howe,Danielle Donnelly",The Community Preservation Corporation ,"Energy,Equity & EJ,Buildings & Affordable Housing",Existing authority,No funding,,"FDIC,OCC,FRS",An Enhanced Community Reinvestment Act (CRA) to Provide CRA Credit to Banks for Clean Energy Investments in Disadvantaged Communities_docx.pdf (https://dl.airtable.com/.attachments/50a5ca9d363e4c20b243f51ceff31323/f4c5c540/AnEnhancedCommunityReinvestmentActCRAtoProvideCRACredittoBanksforCleanEnergyInvestmentsinDisadvantagedCommunities_docx.pdf),
Seizing Solar Manufacturing Leadership from China's Coal-Powered Industry ,"Dr. Billy J. Stanbery,Robert King","HelioSourceTech, Good Company Associates","Energy,Infrastructure,Manufacturing & Onshoring","Existing authority,New legislation",Funding,,"DOE,USTR",Seizing Solar Manufacturing Leadership from China-s Coal-Powered Industry_docx.pdf (https://dl.airtable.com/.attachments/3ac405f6495a3b098b4ad3ee22e8c470/75eb0db8/SeizingSolarManufacturingLeadershipfromChina-sCoal-PoweredIndustry_docx.pdf),
Heating Ventilation Air-Conditioning and Refrigeration (HVACR) Pre-Apprenticeship and Business Education Programs for Economic and Environmental Justice,"Joe Schmutzler,Steve Gelb","Emerald Cities Collaborative, Transformative Wave, Galawish Consulting and Associates","Energy,Buildings & Affordable Housing,Equity & EJ","New legislation,Existing authority",Fund no-fund option,,"DOE,DOL,ED",Heating Ventilation Air-Conditioning and Refrigeration (HVACR) Pre-Apprenticeship and Business Education Programs for Economic and Environmental Justice - Updated.pdf (https://dl.airtable.com/.attachments/975a1a2ee1a44a39bd3afce5454b3623/49a4ce07/HeatingVentilationAir-ConditioningandRefrigerationHVACRPre-ApprenticeshipandBusinessEducationProgramsforEconomicandEnvironmentalJustice-Updated.pdf),Heating Ventilation Air-Conditioning and Refrigeration (HVACR) Pre-Apprenticeship Proposal -- Appendix A.pdf (https://dl.airtable.com/.attachments/ba523f9c115091e7caffdea8193d00a1/3a37d38d/HeatingVentilationAir-ConditioningandRefrigerationHVACRPre-ApprenticeshipProposal--AppendixA.pdf)
DEPARTMENT OF LABOR INDUSTRY DESIGNATION FOR “CLEANTECH”,Kenneth Scissors,Cleantech Business Coalition,Energy,Existing authority,No funding,,DOL,CLEEN Industry Designation.pdf (https://dl.airtable.com/.attachments/104aa58ff07f72936460d35c441bbd09/9cdfe3cb/CLEENIndustryDesignation.pdf),
Reduce catastrophic forest fires and GHG emissions while expanding access to higher education by providing free tuition to young adults in exchange for public service conducting prescribed fires,Donald Simon,"Eco Council, Clean Energy for Biden","Conservation & Ag.,Equity & EJ",New legislation,Funding,"Job Training,Resilience","USDA,DOI",CLEEN Project - wildfire proposal - v4.5.21.docx.pdf (https://dl.airtable.com/.attachments/c999c201a48a05125d47d1ad2781d0ce/9c67b363/CLEENProject-wildfireproposal-v4.5.21.docx.pdf),
National regulation making food waste illegal at grocery stores,Christine Mosley,Full Harvest,"Conservation & Ag.,Food Systems",New legislation,No funding,,"EPA,USDA",National regulation making food waste illegal at grocery stores .docx.pdf (https://dl.airtable.com/.attachments/6ed1edc454d50b49632c11006793d582/87ba24ff/Nationalregulationmakingfoodwasteillegalatgrocerystores.docx.pdf),
Prioritize FDA Clarification of Allowed Nomenclature for Plant-Based Foods,Laura Braden,Good Food Institute ,"Conservation & Ag.,Food Systems",New regulations,No funding,,"USDA,HHS",FDA nomenclature proposal for CLEEN.pdf (https://dl.airtable.com/.attachments/186bb2f397d2368885c2a66b58d712f3/dcd6cbc5/FDAnomenclatureproposalforCLEEN.pdf),
